#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABF1	ATAF1	3702.AT1G49720.2	3702.AT1G01720.1	0	0	0	0	0	0	0	0.513	0.513
ABF1	ABF2	3702.AT1G49720.2	3702.AT1G45249.3	0	0	0	0.853	0	0.500	0	0.909	0.566
ABF1	COR15A	3702.AT1G49720.2	3702.AT2G42540.2	0	0	0	0	0	0	0	0.443	0.443
ABF1	NCED3	3702.AT1G49720.2	3702.AT3G14440.1	0	0	0	0	0	0	0	0.465	0.465
ABF1	MBF1C	3702.AT1G49720.2	3702.AT3G24500.1	0	0	0	0	0	0	0	0.515	0.515
ABF1	ABF4	3702.AT1G49720.2	3702.AT3G19290.3	0	0	0	0.958	0	0.500	0	0.960	0.520
ABF1	ABF3	3702.AT1G49720.2	3702.AT4G34000.1	0	0	0	0.875	0	0.490	0	0.936	0.549
ABF1	KIN11	3702.AT1G49720.2	3702.AT3G29160.1	0	0	0	0	0	0	0	0.574	0.574
ABF1	DREB2A	3702.AT1G49720.2	3702.AT5G05410.1	0	0	0	0	0	0	0	0.582	0.582
ABF1	LTI65	3702.AT1G49720.2	3702.AT5G52300.1	0	0	0	0	0	0	0	0.617	0.617
ABF1	LTI78	3702.AT1G49720.2	3702.AT5G52310.1	0	0	0	0	0.110	0	0	0.599	0.627
ABF1	ABI2	3702.AT1G49720.2	3702.AT5G57050.1	0	0	0	0	0.079	0	0	0.633	0.647
ABF1	ABI3	3702.AT1G49720.2	3702.AT3G24650.1	0	0	0	0	0	0	0	0.671	0.671
ABF1	ABI1	3702.AT1G49720.2	3702.AT4G26080.1	0	0	0	0	0.122	0	0	0.648	0.678
ABF1	ABI5	3702.AT1G49720.2	3702.AT2G36270.1	0	0	0	0.770	0	0.607	0	0.881	0.686
ABF1	bZIP	3702.AT1G49720.2	3702.AT1G68880.1	0	0	0	0	0	0	0	0.810	0.810
ABF1	OST1	3702.AT1G49720.2	3702.AT4G33950.1	0	0	0	0	0	0	0.600	0.708	0.878
ABF2	ATAF1	3702.AT1G45249.3	3702.AT1G01720.1	0	0	0	0	0	0	0	0.734	0.734
ABF2	COR47	3702.AT1G45249.3	3702.AT1G20440.1	0	0	0	0	0	0	0	0.591	0.591
ABF2	MYC2	3702.AT1G45249.3	3702.AT1G32640.1	0	0	0	0	0	0	0	0.589	0.589
ABF2	NAC042	3702.AT1G45249.3	3702.AT2G43000.1	0	0	0	0	0	0	0	0.426	0.426
ABF2	ERD1	3702.AT1G45249.3	3702.AT5G51070.1	0	0	0	0	0	0	0	0.522	0.522
ABF2	ZFHD1	3702.AT1G45249.3	3702.AT1G69600.1	0	0	0	0	0	0	0	0.542	0.542
ABF2	ABF4	3702.AT1G45249.3	3702.AT3G19290.3	0	0	0	0.876	0	0.499	0	0.969	0.559
ABF2	AP2	3702.AT1G45249.3	3702.AT4G36920.2	0	0	0	0	0	0	0	0.581	0.581
ABF2	RD20	3702.AT1G45249.3	3702.AT2G33380.1	0	0	0	0	0	0	0	0.582	0.582
ABF2	COR15A	3702.AT1G45249.3	3702.AT2G42540.2	0	0	0	0	0	0	0	0.586	0.586
ABF2	MYB2	3702.AT1G45249.3	3702.AT2G47190.1	0	0	0	0	0	0	0	0.617	0.617
ABF2	NAC019	3702.AT1G45249.3	3702.AT1G52890.1	0	0	0	0	0	0	0	0.625	0.625
ABF2	RD22	3702.AT1G45249.3	3702.AT5G25610.1	0	0	0	0	0	0	0	0.633	0.633
ABF2	ABI3	3702.AT1G45249.3	3702.AT3G24650.1	0	0	0	0	0	0	0	0.640	0.640
